"Data S1. Repartition of the calls according to animal identity (ID), species, call type, emotional valence, context of vocal production, and their respective number of occurrences, along with references to original studies. Related to STAR Methods.",col_1,col_2,col_3,col_4,col_5,col_6
Animal ID,Species,Call type,Valence,Context,Nb of calls,Reference
1140,Cow,Low- frequency (closed-mouth) and high-frequency (open mouth) calls,Negative,Full (physical and visual) separation from calf within acoustic range,40,"Padilla de la Torre, M., Hillmann, E., and Briefer, E.F. (2015). Vocal expression of emotion in cattle. In Proc. 25th Int. Congress of the Bioacoustics Council, Murnau, Germany, 7–12 September 2015"
1140,,,Positive,Physical reunion with calf,2,
1140,,,Positive,Visual (but not physical) reunion with calf,2,
1150,,,Negative,Full (physical and visual) separation from calf within acoustic range,48,
1150,,,Negative,Physical (but not visual) separation from calf,1,
1150,,,Positive,Visual (but not physical) reunion with calf,3,
1152,,,Negative,Full (physical and visual) separation from calf within acoustic range,44,
1152,,,Positive,Physical reunion with calf,1,
1152,,,Positive,Visual (but not physical) reunion with calf,2,
1160,,,Negative,Full (physical and visual) separation from calf within acoustic range,98,
1160,,,Negative,Physical (but not visual) separation from calf,22,
1160,,,Positive,Visual (but not physical) reunion with calf,2,
1165,,,Negative,Full (physical and visual) separation from calf within acoustic range,54,
1165,,,Negative,Physical (but not visual) separation from calf,1,
1165,,,Positive,Physical reunion with calf,1,
1165,,,Positive,Visual (but not physical) reunion with calf,1,
1191,,,Negative,Full (physical and visual) separation from calf within acoustic range,6,
1192,,,Negative,Full (physical and visual) separation from calf within acoustic range,47,
1192,,,Negative,Physical (but not visual) separation from calf,2,
1192,,,Positive,Physical reunion with calf,4,
1192,,,Positive,Visual (but not physical) reunion with calf,1,
1193,,,Negative,Full (physical and visual) separation from calf within acoustic range,11,
1194,,,Negative,Full (physical and visual) separation from calf within acoustic range,42,
1194,,,Negative,Physical (but not visual) separation from calf,8,
1195,,,Negative,Full (physical and visual) separation from calf within acoustic range,42,
1195,,,Negative,Physical (but not visual) separation from calf,4,
1195,,,Positive,Visual (but not physical) reunion with calf,1,
1197,,,Negative,Full (physical and visual) separation from calf within acoustic range,7,
1199,,,Negative,Full (physical and visual) separation from calf within acoustic range,10,
1200,,,Negative,Full (physical and visual) separation from calf within acoustic range,17,
1203,,,Negative,Full (physical and visual) separation from calf within acoustic range,7,
1204,,,Negative,Full (physical and visual) separation from calf within acoustic range,55,
1205,,,Negative,Full (physical and visual) separation from calf within acoustic range,40,
1207,,,Negative,Full (physical and visual) separation from calf within acoustic range,4,
1207,,,Positive,Visual (but not physical) reunion with calf,1,
1208,,,Negative,Full (physical and visual) separation from calf within acoustic range,15,
1211,,,Negative,Full (physical and visual) separation from calf within acoustic range,62,
1211,,,Positive,Visual (but not physical) reunion with calf,2,
1212,,,Negative,Full (physical and visual) separation from calf within acoustic range,5,
1214,,,Positive,Visual (but not physical) reunion with calf,2,
1281,,,Negative,Full (physical and visual) separation from calf within acoustic range,42,
1281,,,Positive,Visual (but not physical) reunion with calf,1,
2532,,,Negative,Full (physical and visual) separation from calf within acoustic range,100,
2532,,,Negative,Physical (but not visual) separation from calf,12,
2532,,,Positive,Physical reunion with calf,5,
2532,,,Positive,Visual (but not physical) reunion with calf,4,
5975,,,Positive,Visual (but not physical) reunion with calf,3,
5980,,,Positive,Visual (but not physical) reunion with calf,3,
5986,,,Negative,Full (physical and visual) separation from calf within acoustic range,51,
5986,,,Negative,Physical (but not visual) separation from calf,21,
5986,,,Positive,Physical reunion with calf,5,
5986,,,Positive,Visual (but not physical) reunion with calf,1,
7516,,,Negative,Full (physical and visual) separation from calf within acoustic range,46,
7516,,,Negative,Physical (but not visual) separation from calf,10,
7516,,,Positive,Visual (but not physical) reunion with calf,7,
9016,,,Negative,Full (physical and visual) separation from calf within acoustic range,4,
9016,,,Negative,Physical (but not visual) separation from calf,1,
9016,,,Positive,Visual (but not physical) reunion with calf,1,
9018,,,Negative,Full (physical and visual) separation from calf within acoustic range,44,
9018,,,Negative,Physical (but not visual) separation from calf,16,
9018,,,Positive,Physical reunion with calf,2,
9018,,,Positive,Visual (but not physical) reunion with calf,2,
9032,,,Negative,Full (physical and visual) separation from calf within acoustic range,16,
9032,,,Positive,Physical reunion with calf,1,
9032,,,Positive,Visual (but not physical) reunion with calf,1,
9036,,,Negative,Full (physical and visual) separation from calf within acoustic range,100,
9036,,,Negative,Physical (but not visual) separation from calf,3,
9036,,,Positive,Visual (but not physical) reunion with calf,13,
9156,,,Negative,Full (physical and visual) separation from calf within acoustic range,21,
9156,,,Positive,Visual (but not physical) reunion with calf,1,
99003,Goat,Low- frequency (closed-mouth) and high-frequency (open mouth) calls,Negative,Food frustration,5,"Briefer, E.F., Tettamanti, F., and McElligott, A.G. (2015). Emotions in goats: mapping physiological, behavioural and vocal profiles. Anim. Behav., 99, 131–143"
99003,,,Negative,Short social isolation in familiar pen,2,
99003,,,Positive,Food anticipation,3,
99006,,,Negative,Food frustration,2,
99006,,,Negative,Short social isolation in familiar pen,2,
